Iteration,Best Score
1,4.658055555724776e+18
2,4.658055555724776e+18
3,4.17888888918757e+18
4,3.7293576392393533e+18
5,3.6507118059578045e+18
6,3.3027951393558676e+18
7,3.2652951393817605e+18
8,2.919461806113158e+18
9,2.763211806164942e+18
10,2.372586806229672e+18
11,2.3001909729351767e+18
12,1.9681597229740147e+18
13,1.8577430563591322e+18
14,1.628055556410916e+18
15,1.4293055564756462e+18
16,1.3121180565403763e+18
17,1.1994618066131464e+18
18,1.0765451399902236e+18
19,1.0687326400420076e+18
20,8.35659723414179e+17
21,6.624826401326298e+17
22,5.062326401844136e+17
23,3.9164930691581024e+17
24,3.338368069675939e+17
25,2.917534736966556e+17
26,2.917534736966556e+17
27,2.3810764045627933e+17
28,2.2310764050806333e+17
29,2.2310764050806333e+17
30,1.8654514061163133e+17
31,1.4060764066341531e+17
32,1.1310764072814531e+17
33,1.1310764072814531e+17
34,8.706597418808266e+16
35,6.4565974229776664e+16
36,4.414930762784001e+16
37,3.5295141000011324e+16
38,3.1128474398074668e+16
39,2.019097446280468e+16
40,1.6024307834976014e+16
41,1.6024307834976014e+16
42,1.6024307834976014e+16
43,1.6024307834976014e+16
44,1.6024307834976014e+16
45,1.6024307834976014e+16
46,1.6024307834976014e+16
47,1.2118058210410018e+16
48,6649308275140014.0
49,6649308275140014.0
50,3315975045374681.5
51,3315975045374681.5
52,3315975045374681.5
53,3315975045374681.5
54,3315975045374681.5
55,1649308598790014.2
56,1649308598790014.2
57,1649308598790014.2
58,1649308598790014.2
59,1649308598790014.2
60,1649308598790014.2
61,1649308598790014.2
62,1649308598790014.2
63,1649308598790014.2
64,1649308598790014.2
65,1649308598790014.2
66,1649308598790014.2
67,1649308598790014.2
68,1649308598790014.2
69,1649308598790014.2
70,1649308598790014.2
71,1649308598790014.2
72,1649308598790014.2
73,1649308598790014.2
74,1649308598790014.2
75,1649308598790014.2
76,1649308598790014.2
77,1649308598790014.2
78,1649308598790014.2
79,1649308598790014.2
80,1649308598790014.2
81,1649308598790014.2
82,1649308598790014.2
83,1649308598790014.2
84,1649308598790014.2
85,1649308598790014.2
86,1649308598790014.2
87,1649308598790014.2
88,1649308598790014.2
