Filename,Material,Furnace,Standard,Thickness,Width,Length,Entry Time,Delivery Time,Batch
image01.jpg,Q345C,87X4DD2,GB/T 713-2014,18.0,2200.0,9000.0,2024-10-15,2024-11-14,Q5
image02.jpg,Q235B,UISISWY,GB/T 713-2014,16.0,2200.0,12500.0,2024-10-15,2024-11-14,Q5
image03.jpg,Q345R(R-HIC),DCRV18V,GB/T 3274-2017,20.0,1900.0,10500.0,2024-10-15,2024-11-14,Q5
image04.jpg,Q235D,QK89HAW,GB/T 713-2014,16.0,1900.0,12500.0,2024-10-15,2024-11-14,Q5
image05.jpg,Q235B,DIKEZAD,GB/T 3274-2017,25.0,2100.0,9000.0,2024-10-15,2024-11-14,Q5
image06.jpg,Q245R(R-HIC),CXWNNGS,GB/T 3274-2017,15.0,1900.0,12500.0,2024-10-15,2024-11-14,Q5
image07.jpg,Q245A,AZJOJE7,GB/T 3274-2017,18.0,2200.0,9000.0,2024-10-15,2024-11-14,Q5
image08.jpg,Q235C,8CZMUEA,GB/T 713-2014,20.0,2200.0,12500.0,2024-10-15,2024-11-14,Q5
image09.jpg,Q245A,3TJ2JZ4,GB/T 3274-2017,8.0,1900.0,12000.0,2024-10-15,2024-11-14,Q5
image10.jpg,Q245A,OYJIKIP,GB/T 3274-2017,15.0,2100.0,7000.0,2024-10-15,2024-11-14,Q5
img01.bmp,Q345C,87X4DDZ,GB/T 713-2014,18.0,2200.0,9000.0,2024-10-15,2024-11-14,Q6
img01.jpg,Q345R(R-HIC),ITC,GB/T 713-2014,16.0,2000.0,12000.0,2024-10-15,2024-11-14,Q6
img02.bmp,Q235B,UISISWY,GB/T 713-2014,16.0,2200.0,12500.0,2024-10-15,2024-11-14,Q6
img03.bmp,Q345R(R-HIC),DCRV18V,GB/T 3274-2017,20.0,1900.0,10500.0,2024-10-15,2024-11-14,Q6
img04.bmp,Q235D,QK89HAW,GB/T 713-2014,16.0,1900.0,12500.0,2024-10-15,2024-11-14,Q6
img05.bmp,Q235B,DIKEZAD,GB/T 3274-2017,25.0,2100.0,9000.0,2024-10-15,2024-11-14,Q6
img06.bmp,Q24SR(R-HIC),CXWNNGS,GB/T 3274-2017,15.0,190.0,12500.0,2024-10-15,2024-11-14,Q6
img07.bmp,Q245A,A2JOJE7,GB/T 3274-2017,18.0,2200.0,9000.0,2024-10-15,2024-11-14,Q6
img08.bmp,Q235C,8CZMUEA,GB/T 713-2014,20.0,2200.0,12500.0,2024-10-15,2024-11-14,Q6
img09.bmp,Q245A,3T12124,GB/T 3274-2017,8.0,190.0,12000.0,2024-10-15,2024-11-14,Q6
img10.bmp,Q245A,OYJ1KIP,GB/T 3274-2017,15.0,2100.0,7000.0,2024-10-15,2024-11-14,Q6
image00.jpg,,,,2200.0,12000.0,2943125.0,2024-10-15,2024-11-14,Q7
image01.jpg,,,,2200.0,12000.0,201425.0,2024-10-15,2024-11-14,Q7
image02.jpg,,,,46.0,2200.0,12000.0,2024-10-15,2024-11-14,Q7
image03.jpg,,,,,,,2024-10-15,2024-11-14,Q7
image04.jpg,Q245R(R-HZ,C323334,,34.0,2500.0,12000.0,2024-10-15,2024-11-14,Q7
image05.jpg,,,,12.0,3000.0,8000.0,2024-10-15,2024-11-14,Q7
image06.jpg,,,,46.0,1970.0,9400.0,2024-10-15,2024-11-14,Q7
image00.jpg,,,,2200.0,12000.0,2943125.0,2024-10-15,2024-11-14,Q8
image01.jpg,,,,2200.0,12000.0,201425.0,2024-10-15,2024-11-14,Q8
image02.jpg,,,,46.0,2200.0,12000.0,2024-10-15,2024-11-14,Q8
image03.jpg,,,,,,,2024-10-15,2024-11-14,Q8
image04.jpg,Q245R(R-HZ,C323334,,34.0,2500.0,12000.0,2024-10-15,2024-11-14,Q8
image05.jpg,,,,12.0,3000.0,8000.0,2024-10-15,2024-11-14,Q8
image06.jpg,,,,46.0,1970.0,9400.0,2024-10-15,2024-11-14,Q8
